,Unnamed: 0,News,Label
1427,1277,The Last Confirmation Bias Test of This Election,FALSE
418,268,The Fix Is In: NBC Affiliate Accidentally Posts Election Results A Week Early: Hillary Wins Presidency 42% to Trumps 40%,FALSE
1434,1284,BREAKING: Trump Rushed Off Stage After Alleged Gunman Found in Rally Audience,FALSE
442,292,Who Lost Iraq?,TRUE
859,709,Bernie's swan song begins,TRUE
119,119,"About half of the presidents have been governors; half of them, senators.",FALSE
1313,1163,"Cruz eyes insurance via Obamacare, a law he vows to scrap (+video)",TRUE
1287,1137,The Sad Evolution Of Education Summed Up By One Meme,FALSE
268,118,3 Questions Ahead Of Tonight's Democratic Debate,TRUE
982,832,United States  Reformation or Fracture?,FALSE
742,592,Why Director Comey jumped at the chance to reopen Hillary investigation,FALSE
1017,867,What 'Draw Muhammad' shootings say about Islamic State reach (+video),TRUE
1117,967,"Obama opens up on Iran: What he's learned about war, Republicans, and his foreign policy",TRUE
1254,1104,Donald Trump's Problems Are Much Deeper Than A Campaign Manager,TRUE
1464,1314,Proof God is on Dutertes Side!,FALSE
1442,1292,White House looks to scientists to sell Iran deal,TRUE
1206,1056,The Overwhelming Stress of Being Denied a Bathroom,TRUE
680,530,Jeb Bush fights lonely battle defending Common Core,TRUE
854,704,Delete Your Account  Episode 23: Dont Get Sick,FALSE
725,575,"CLINTON, INC: WATCH HOWS IT PAINS MSM TO REPORT CLINTON CORRUPTION",FALSE
992,842,Sex and the Presidential City,FALSE
852,702,Mall of America to Close for First Time Ever on Thanksgiving,FALSE
1051,901,Trump ups the ante in Indiana,TRUE
269,119,Obama's terror strategy is failing: US must heed lessons of 9/11,TRUE
787,637,Restaurant Chain Tim Hortons Blocks Independent Journalists Website on WiFi,FALSE
1319,1169,"Shift in Cuba politics boosts Obama, challenges Rubio",TRUE
1291,1141,Trump Votes Are Being Flipped To Clinton,FALSE
317,167,Fifteen Quotes Proving False Flag Terrorism & the Existence of a Shadow Government,FALSE
536,386,"Juan Williams: My bets on Trump, Clinton vice presidential picks",TRUE
567,417,Just Another Day In the Life of the Clinton Crime Family,FALSE
1080,930,Iran nuclear talks: What if the deal falls through?,TRUE
246,96,Give Social Security recipients a CEO-style raise,TRUE
1177,1027,U.S. LAWMAKERS RAISE PRIVACY CONCERNS OVER NEW HACKING RULES,FALSE
626,476,"Netanyahu: Iran A Threat to Israel, the World",TRUE
1475,1325,"This Will END Hillarys Campaign, HILLARY CLINTON IS GOING DOWN",FALSE
599,449,Joe Giambrone on Hollywoods Shameless & Underhanded Assault on Political Truth,FALSE
493,343,The Hulk Actor Mark Ruffalo Has Joined Standing Rock to Protest DAPL,FALSE
123,123,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",TRUE
314,164,Are Tensions With Russia Even Real?,FALSE
452,302,The system set Boehner up for failure,TRUE
57,57,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",FALSE
860,710,Would Trump presidency threaten rule of law?,TRUE
309,159,Super PAC Gets Early Start on Pushing for a 2016 Clinton Campaign,TRUE
862,712,Bernie Sanders Says What The Media Wont: Trump Is A Gutless Political Coward,FALSE
142,142,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",TRUE
833,683,Ted Cruz victory shows GOP's impossible conundrum (+video),TRUE
1175,1025,"Mike Brown Family Suing Ferguson, Wilson",TRUE
440,290,People excited about Christmas adverts told about rest of human culture,FALSE
784,634,How Democrats killed Obama's college savings plan,TRUE
1233,1083,Claire McCaskill Accuses Marco Rubio Of Shirking Principles On Immigration,TRUE
447,297,Obama Details His Disappointment With Netanyahu In First Post-Election Comments,TRUE
902,752,Why Greece and Iran seem willing to take on the world (+video),TRUE
1407,1257,South Carolina primary brings high stakes for Marco Rubio and Jeb Bush,TRUE
486,336,Comment on Elections 2012-16 by BeamMeUpScotty,FALSE
1012,862,Former GOP Representative Calls For Armed Insurrection (VIDEO),FALSE
932,782,14 Days and Counting-There Will Be a Civil War No Matter Who Wins the Election,FALSE
617,467,The Anatomy of Crisis and the Decline of US Empire,FALSE
997,847,Swing-state stunner: Trump has edge in key states,TRUE
186,36,Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,FALSE
217,67,FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,TRUE
1409,1259,"Slow start for program to reduce vets' waits at Veterans Affairs facilities, offer private medical care",TRUE
1231,1081,"Trump claims GOP nomination, tells struggling Americans 'I am your voice'",TRUE
1144,994,"New Company Aims To Explore Intersection Of Technology, Other Thing - The Onion - America's Finest News Source",FALSE
37,37,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",TRUE
1455,1305,Will Latino loathing of Trump drive a voter movement to swing the election?,TRUE
516,366,THE VISION THING 16    : Information,FALSE
873,723,Trick-Or-Treaters Get Their Socks Rocked By BADASS Hillary Pumpkin Outside,FALSE
721,571,"James Comey to be taken out, knows too much about Clintons",FALSE
995,845,Obama: Warren 'Absolutely Wrong' On Trade Deal,TRUE
1373,1223,Project Veritas: Scott Foval Reveals Who Was Really Behind the Romney 47% Video,FALSE
808,658,"Budgeting the Good War, for 75 Years",FALSE
36,36,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,TRUE
631,481,"Anonymous hacker Deric Lostutter faces 16 years in prison, while Steubenville rapists walk free",FALSE
1338,1188,French Political Leader: France is about to Enter a Holy War with Islam  Embrace Christianity Never Accept the Religion of Satan,FALSE
1363,1213,How The Oligarchs Plan To Steal The Election,FALSE
616,466,Gaming Obamacare,TRUE
624,474,Oregon Standoff Leaders Acquitted For Malheur Wildlife Refuge Takeover,FALSE
328,178,BUSTED: Clinton Foundation Directly Tied To Plot To Steal Election,FALSE
1229,1079,Donald Trump doesn't challenge anti-Muslim questioner,TRUE
790,640,Trump Makes Last-Minute Push To Appeal To Whites - The Onion - America's Finest News Source,FALSE
797,647,"Final votes on Patriot Act, trade deal bill set dramatic stage for Congress return",TRUE
1415,1265,"Amid campaign troubles, Trump blasts Clinton as 'world-class liar'",TRUE
968,818,Clinton braces for Nevada nail-biter,TRUE
1454,1304,"What is an ""income"" tax and where did it come from? NOT the 16th Amendment!",FALSE
1457,1307,New Study Shows Riots Make America Conservative,TRUE
554,404,Comment on Indoor Gardening Made Easy: The Nutritower! by Indoor Gardening Made Easy: The Nutritower!  Collective EvolutionGardening Business News UK | Gardening Business News UK,FALSE
512,362,Hillary Clinton Is Now Radioactive  SoT #122,FALSE
1248,1098,Donald Trump threatens to jail Hillary Clinton in second presidential debate,TRUE
1173,1023,Links 11/11/16,FALSE
80,80,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,TRUE
890,740,The Militarized Police at Standing Rock is Working for This Man,FALSE
699,549,How a $15 minimum wage went from extreme to enacted,TRUE
843,693,FACEBOOK Nazi Thought Police editors threaten to quit if Mark Zuckerberg doesnt ban Donald Trump for hate speech,FALSE
204,54,World's newspapers react to 'Hebdo' attack,TRUE
350,200,We Live In A Time Where Each Individual Has Immense Power,FALSE
809,659,Will the anti-Clinton revolt among American elites gain momentum?,FALSE
18,18,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",TRUE
826,676,18 State Swat Team Drill In Prep for Backlash Against a Stolen Election,FALSE
845,695,Oklahoma Fraternity Is Closed Over Video Of Racist Chant,TRUE
1086,936,Cruz blasts Trump as phony conservative in front of CPAC crowd,TRUE
1163,1013,Reasons to Risk Nuclear Annihilation,FALSE
396,246,Memo to the Next Administration: Defense Spending Must Be For Actual Defense,FALSE
853,703,Former Director Of National Budget Warns That Markets Will Tank After US Election,FALSE
1394,1244,"Trump's lean campaign machine relying mostly on donor cash, not his own",TRUE
1382,1232,John Olivers Smear Tactics Exposed As Establishment Propaganda,FALSE
34,34,Says Mark Pryor votes with Obama 93 percent of the time.,TRUE
1197,1047,Report: Freddie Gray sustained injury in police van,TRUE
244,94,"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",FALSE
1286,1136,ISIS shoots down Russian helicopter near Palmyra (VIDEO+PHOTOS),FALSE
349,199,'Historic' climate deal in sight as nations parse final text,TRUE
343,193,Who had to go :-),FALSE
866,716,"Trump doctors letter: He takes cholesterol drug, is overweight but is in excellent health",TRUE
352,202,Only Demented Imbeciles Want A Killary Reign Of Terror,FALSE
65,65,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,FALSE
287,137,The next president can have a big impact on climate policy  even without Congress,TRUE
487,337,After Debate Duke Says USA becoming Banana Republic,FALSE
1307,1157,Twitter has been looking into the future: read the best 16 predictions,FALSE
388,238,"MH370: If debris is part of missing plane, what's next?",TRUE
1294,1144,War is eminent,FALSE
199,49,American politics has reached peak polarization,TRUE
200,50,Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),TRUE
788,638,Why raising the Social Security retirement age really does hurt the poor the most,TRUE
1132,982,"US sailors freed by Iranians. No US apology issued, says Joe Biden",TRUE
1147,997,A List of Best Password Managers Offering Both Free and Premium Services,FALSE
1024,874,"As Crooked HIllary Investigation Reopens, Democrat Cities Push To Allow Illegal Immigrants Voting",FALSE
129,129,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,TRUE
1188,1038,The Source of our Rage       :,FALSE
334,184,"Come on, Paul Ryan must be running in 2016, right? Right?",TRUE
85,85,"In Rick Perrys Texas, we import nurses ... from other countries.",TRUE
749,599,The media unload on Donald Trump,TRUE
387,237,"Trump says Obama born in US, period  after new birther dust-up",TRUE
503,353,Comment on U.S. war with Iran has already begun by      /    1390 - ,FALSE
168,18,What's in that Iran bill that Obama doesn't like?,TRUE
1261,1111,"Jebs Sad, Quixotic South Carolina Slog",TRUE
1167,1017,Comment on The Science is Overwhelming At This Point Wifi Industry Appeals Brain Tumor Association Ordinance by THE SCIENCE IS OVERWHELMING AT THIS POINT WIFI INDUSTRY APPEALS BRAIN TUMOR ASSOCIATION ORDINANC - WAKING SCIENCE,FALSE
758,608,Meet The Man Who Started The Illuminati,FALSE
543,393,#InNorthDakota ~~ PALESTINIANS STAND WITH THE SIOUX,FALSE
1038,888,Obamas plan to boost defense budget points to brewing national security debate,TRUE
1430,1280,North Dakota Police Arrest Over 140 Pipeline Protesters,FALSE
1260,1110,Adelson's Review-Journal Gives Trump First Major Endorsement,TRUE
46,46,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",FALSE
801,651,Carmel Institute celebrates 5th anniversary with jazz concert,FALSE
1266,1116,"BREAKING : LGBT Group Endorses Trump, Says, Hillary is Detrimental for Gays  TruthFeed",FALSE
271,121,Selma 50 years on: John Lewis's recalls the march,TRUE
601,451,"Blame government, not markets for monopoly",FALSE
523,373,If Hillary Clinton Is Charged With Obstruction Of Justice She Could Go To Prison For 20 Years,FALSE
656,506,Democratic debate: Fact-checking the candidates,TRUE
555,405,US abstains from UN vote calling for end to Cuban embargo,FALSE
1452,1302,"Reinventing Democracy in America Starts by Voting, Then Building an Accountability Movement",FALSE
60,60,Only 2 percent of public high schools in the country offer PE classes.,FALSE
791,641,A new 9/11 memorial to Flight 93: Our loved ones left a legacy for all of us,TRUE
42,42,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",FALSE
1203,1053,Brexiters set up demented peoples courts,FALSE
1232,1082,Quit Smoking! Smoking Cigarettes Causes 150 Genetic Mutations and Cancer,FALSE
585,435,"Cruz camp responds to Rubio Photoshop flap, brushes off criticism",TRUE
103,103,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",TRUE
804,654,Obamas Arctic Trip Comes as Climate Change Builds as 2016 Issue,TRUE
1460,1310,"Anti-terrorism crackdowns may have spurred attackers, Belgian prosecutor says",TRUE
81,81,"At some point in their lives, 99% of women use birth control.",TRUE
1124,974,"After vowing to end two wars, Obama may leave three behind",TRUE
1340,1190,"Fear of Trump sparking a surge in citizenship, voter applications",TRUE
344,194,Raqqa/Mosul: Politicians Fiddle As Middle East Burns,FALSE
185,35,First Ever Hindu Woman Elected into Congress,FALSE
361,211,Justices Kennedy and Scalia and their divide on gay rights,TRUE
278,128,Monsieur Malbrough est Mort | New Eastern Outlook,FALSE
951,801,Discrimination and Condemnation: Australias War on Boat People,FALSE
1386,1236,Western Culture is Wrecking Entire Continents,FALSE
1349,1199,"Minnesota Man Arrested, Sentenced to 6-Months in Jail for Having a Windmill On His Property",FALSE
566,416,49 killed in shooting at Florida nightclub in possible act of Islamic terror,TRUE
5,5,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,TRUE
425,275,Inside the Deliberations of a Hillary Clinton Campaign Launch,TRUE
850,700,Supreme Court Readies Blockbuster Rulings,TRUE
443,293,Pope Francis implores Congress to accept immigrants as their own,TRUE
816,666,Kevin McCarthy announces he's a candidate for House speaker (+video),TRUE
152,2,Kerry to go to Paris in gesture of sympathy,TRUE
1224,1074,Military op to retake Mosul from ISIS,FALSE
926,776,Cruz campaign: We could have stopped Trump if Rubio became running mate,TRUE
620,470,7 Ways To Prepare For An Economic Crisis,FALSE
547,397,"Hillary, The Political Scientist",FALSE
266,116,APOCALYPSE NOW: Trump Voters Warn Of Revolution If Clinton Wins,FALSE
989,839,US faces calls to walk away from Iran talks,TRUE
128,128,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,FALSE
1007,857,Election 2016 and the Growing Global Nuclear Threat,FALSE
861,711,Google And God,FALSE
805,655,YouTube censoring videos  on censorship!,FALSE
214,64,Rubios parting shot at Trump,TRUE
1088,938,Donald Trumps campaign of terror: How a billionaire channeled his authoritarian rage  and soared to the top of the polls,TRUE
391,241,"""America has a simple ideology"": how one of Russia's top US experts explains America",TRUE
783,633,U.S. Congressional Delegation travels to Cuba this weekend,TRUE
899,749,US Not Ruling Out Daesh Involvement in Afghanistan Offensive,FALSE
448,298,"Re: WikiLeaks: Neera Tanden has ANOTHER ringing endorsement for Hillary! (No, not really)",FALSE
45,45,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,TRUE
908,758,Obama: U.S. cannot solve the world's problems alone,TRUE
413,263,America After Election 2016: the Gullible and the Shattered - David Kerans,FALSE
72,72,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",TRUE
1402,1252,Trump Supporter Jailed for Trying to Rig the Election By Committing Voter Fraud,FALSE
434,284,A dream come true for Hillary Clinton: Wall Street Journal editorial board rips Ted Cruz,TRUE
1350,1200,"This is tyranny not democracy, says party with single MP",FALSE
1039,889,What Trump and Clinton are looking for in a VP,TRUE
211,61,"Hillary Clinton's declining favorability numbers, in context",TRUE
1325,1175,Clinton Aide Says Future WikiLeaks Releases Are 'Probably Fake',FALSE
958,808,The Israeli Trumpess,FALSE
1371,1221,The US Elections Do Matter But Not Necessary To Follow Them  Sheikh Imran Hosein,FALSE
253,103,"FBI expands probe of Clinton emails, launches independent classification review",TRUE
12,12,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",FALSE
1467,1317,North Korea Threatens Sacred Nuclear War Against Israel if this country continue supporting ISIS,FALSE
667,517,"Yes, There Is a Clinton Double Standard",TRUE
915,765,What Walker's Departure Means for GOP Field,TRUE
108,108,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",TRUE
673,523,'The only other option': Bernie Sanders backers turn to Green party's Jill Stein,TRUE
885,735,"Steve Quayle On Economic Collapse, World War 3 and U S elections",FALSE
934,784,Inside Jeb's 'shock and awe' launch,TRUE
169,19,The 1 chart that explains everything you need to know about partisanship in America,TRUE
704,554,BREAKING : Bay of Pigs Veterans Association Endorses Donald Trump  TruthFeed,FALSE
988,838,"Life: When These Third-Graders Saw Their Classmate Didnt Have A Lunch, They Kept Feeding Him More And More Lunches Until He Clogged The Door And Got School Canceled",FALSE
520,370,Comment on Police Officers Wife Caught Faking a Robbery In a Scheme To Frame Black Lives Matter by The Cat's Vagina (Nasty Woman),FALSE
1395,1245,P. Parenthood Chief Goes Toe-to-Toe with Attackers,TRUE
360,210,UKIP MEPs Steven Woolfe & Mike Hookem reported to French police over Strasbourg scuffle,FALSE
964,814,Brexit and the Law,FALSE
976,826,The NRA Just Admitted It Was Always Lying About Obama Confiscating Guns,FALSE
780,630,Michael Moore Owes Me $4.99,FALSE
756,606,CNN Talker Famous for Saying 'Pu***' on Air Lashes Out at Newt for Saying Megyn's 'Obsessed with Sex',FALSE
664,514,Lawmakers caught in battle between House ethics cops,TRUE
1026,876,Town in Wisconsin Passes Law That Fines Parents of Bullies,FALSE
842,692,"The Left Turns on Bob Dylan for His Pro-Israel Views, Refusal to Acknowledge Nobel Prize",FALSE
441,291,State Department warns of possible terror attack in South Africa,TRUE
757,607,Senate GOP leaving tea party primary battles behind,TRUE
53,53,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",TRUE
1438,1288,"Leaked Email: If She Wins, Hillary Will Own The Supreme Court for the Next 30 to 40 Years",FALSE
1141,991,Puh-LEEZE! DOJs policy reminder to FBI is shameless (especially considering THIS)  twitchy.com,FALSE
635,485,You Can't Be Intersectional While at the Same Time Being Elitist and Exclusionary,FALSE
1126,976,Donald Trump Wins The Presidency In Historic Mandate Victory As Hillary Clinton Concedes,FALSE
795,645,What I Learned From Speaking to an R.N.C. Attendee From Every State,TRUE
41,41,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,TRUE
212,62,Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryans Relative for Supreme Court by lenore.lee,FALSE
159,9,Iran reportedly makes new push for uranium concessions in nuclear talks,TRUE
411,261,Buchanan Smashes CNN Shill,FALSE
1005,855,Why Negotiators At Paris Climate Talks Are Tossing The Kyoto Model,TRUE
