News,Label
You Can Smell Hillaryâ€™s Fear,FAKE
Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),FAKE
Kerry to go to Paris in gesture of sympathy,REAL
Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',FAKE
The Battle of New York: Why This Primary Matters,REAL
"Tehran, USA",FAKE
Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,FAKE
â€˜Britainâ€™s Schindlerâ€™ Dies at 106,REAL
Fact check: Trump and Clinton at the 'commander-in-chief' forum,REAL
Iran reportedly makes new push for uranium concessions in nuclear talks,REAL
"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clintonâ€™s campaign",REAL
Donald Trumpâ€™s Shockingly Weak Delegate Game Somehow Got Even Worse,REAL
"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",FAKE
10 Ways America Is Preparing for World War 3,FAKE
"Trump takes on Cruz, but lightly",REAL
How women lead differently,REAL
Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,FAKE
Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,FAKE
What's in that Iran bill that Obama doesn't like?,REAL
The 1 chart that explains everything you need to know about partisanship in America,REAL
The slippery slope to Trumpâ€™s proposed ban on Muslims,REAL
Episode #160 â€“ SUNDAY WIRE: â€˜Hail to the Deplorablesâ€™ with special guest Randy J,FAKE
Hillary Clinton Makes A Bipartisan Appeal on Staten Island,REAL
New Senate majority leaderâ€™s main goal for GOP: Donâ€™t be scary,REAL
â€˜Infernoâ€™ and the Overpopulation Myth,FAKE
Anti-Trump forces seek last-ditch delegate revolt,REAL
Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,REAL
Donald Trump Is Changing His Campaign Slogan to Prove Heâ€™s Not Racist,REAL
Pure chaos: Donald Trumpâ€™s campaign management offers a glimpse into his governing style (spoiler alert: itâ€™s terrible),REAL
"Syrian War Report â€“ November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",FAKE
Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],FAKE
Why Itâ€™s Necessary To Relax Into A Stretch,FAKE
"Brexit Encourages UK to Trade With Non-EU States, Including Russia",FAKE
"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever â€˜hope for changeâ€™? (6 of ?)",FAKE
Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,FAKE
First Ever Hindu Woman Elected into Congress,FAKE
Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,FAKE
Ex-Assistant FBI Director: Clintons Are a Crime Family,FAKE
Hillary Wants Aggressively Interventionist Foreign Policy,FAKE
Both parties want to craft populist messages for 2016,REAL
First Take: Wall Street bids goodbye to June hike,REAL
Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater,FAKE
Homeless Woman Protects Trumpâ€™s Walk of Fame Star From Violent Leftists,FAKE
"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trumpâ€™s Friday â€˜meltdownâ€™",REAL
220 â€˜Significantâ€™ Pipeline Spills Already This Year Exposes Troubling Safety Record,FAKE
Obama makes the right call to tough it out in Afghanistan,REAL
Senate race rankings: Dems attack as GOP lays swing-state groundwork,REAL
â€˜He didnâ€™t know the boy didnâ€™t want to be rapedâ€™ â€“ court throws out Muslim migrant child sex charge and Germans are in shock,FAKE
Pieczenik â€œRogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White Houseâ€ â€“ TruthFeed,FAKE
American politics has reached peak polarization,REAL
Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),REAL
"3 Effects of Substance Abuse on Individual, Family and Community",FAKE
Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,FAKE
New Comment Features have been Added,FAKE
World's newspapers react to 'Hebdo' attack,REAL
Ying and Yang (the Gold and Silver Set-Up),FAKE
"Closed primaries, 'warped' democracy?",REAL
Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,FAKE
Donald Trump: Hillary Clinton has 'caused tremendous death',REAL
Detroit womenâ€™s Halloween decorations depict â€˜real-life horrorsâ€™ â€¦ such as shootings police by police,FAKE
Biden makes another surprise political stop,REAL
"Hillary Clinton's declining favorability numbers, in context",REAL
Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryanâ€™s Relative for Supreme Court by lenore.lee,FAKE
Hillary Clinton: The criminal investigation keeps moving forward,REAL
Rubioâ€™s parting shot at Trump,REAL
Loretta Lynch becomes first African-American woman AG.,REAL
Why it's funny Republicans are upset with Facebook: Column,REAL
FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,REAL
Is google and YouTube in the Hillary's purse?,FAKE
Handicapping the Hispanic vote for 2016 GOPers,REAL
Truth Will Out Radio: The Laconia Incident,FAKE
GOP establishment nightmare? Ted Cruz vs. Donald Trump,REAL
Bernie Sanders lost poor voters in South Carolina by a big margin â€” a problem for his political revolution,REAL
Should I Get Botox?,FAKE
Jeb Bush Picks Up Endorsement From Lindsey Graham,REAL
"2016 Republican race enters a new, volatile phase",REAL
"â€˜Hands up, donâ€™t shootâ€™ was built on a lie",REAL
Lavrov and Kerry discuss Syrian settlement,FAKE
BREAKING : DOJ Says They Will â€œHELPâ€ Review the 650K Emails â€“ TruthFeed,FAKE
Bernie Sanders' call for ouster of two convention co-chairs rejected,REAL
Five Reasons the New York Democratic Primary Felt Competitive,REAL
"To get around Congress, Obama turns to city halls",REAL
Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,FAKE
John Kerry: ISIS responsible for genocide,REAL
Mitt Romney's Re-Invention As Anti-Poverty Warrior,REAL
King: Fill the Supreme Court vacancy,REAL
"Ted Cruz is toast: Itâ€™s not just that he wonâ€™t be president â€” his days in the Senate are numbered, too",REAL
Obamaâ€™s speech in Selma was an answer to those who question his love for America,FAKE
Where Does Bernie Sanders Go From Here?,REAL
Exclusive: GOP campaigns plot revolt against RNC,REAL
Revelation Unleashed: Unlocking The Mysteries Of The Bibleâ€™s Most Mysterious Book,FAKE
Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],FAKE
"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",REAL
French police hunt two brothers accused of Charlie Hebdo terror attack,REAL
"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",FAKE
CNN: One voter can make a difference by voting repeatedly,FAKE
Give Social Security recipients a CEO-style raise,REAL
"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",REAL
"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",REAL
How Ted Cruz Became Ted Cruz,REAL
Newly Approved GM Potatoes Have Potential to Silence Human Genes,FAKE
Accord reached after Sanders sues the DNC over suspended access to critical voter list,REAL
Why the latest Patriot Act reform wonâ€™t be enough to rein in the NSA,REAL
"FBI expands probe of Clinton emails, launches independent classification review",REAL
Where is Gary Johnson?,REAL
"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]",FAKE
Nuclear weapons question,FAKE
Kevin MacDonald celebrates Trumpâ€™s Amazing Victory,FAKE
"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount",FAKE
What happens if Clinton drops out?,REAL
Brothers ID'd as suicide bombers in Belgium,REAL
Glorifying Violence,FAKE
Russia may run out of patience and respond to USA's rudeness,FAKE
The David Duke Show: Hillaryâ€™s Treason and Why Trump & Duke Will Win,FAKE
Don't blame all immigrants for San Francisco shooting,REAL
Netanyahu: I Won't Allow Israel to Be 'Submerged' by Refugees,REAL
APOCALYPSE NOW: Trump Voters Warn Of â€˜Revolutionâ€™ If Clinton Wins,FAKE
"Geo-Engineering Unlikely to Work, Conservation Group Says",FAKE
3 Questions Ahead Of Tonight's Democratic Debate,REAL
Obama's terror strategy is failing: US must heed lessons of 9/11,REAL
â€œBernie needs to be ground to a pulp.â€ Leaked Email to John Podesta in February,FAKE
Selma 50 years on: John Lewis's recalls the march,REAL
