,News,Label
0,The evidence that 5G is envolved for the coronavirus symptoms.,FALSE
1,Fight coronvirus with cutting edge tech purifiers ,FALSE
2,People are literally dying in the streets of China,FALSE
3,"Coronavirus in China:23 million quarantined ,2.8 million infected; 112,000 dead",FALSE
4,Fema proposes martial law to contain coronavirus,FALSE
5,Chinese researchers escorted from infectious disease lab in Canada for sending pathogens in Wuhan facility .,FALSE
6,Bill Gates & world economic forum help setup the pandemic simulation of coronavirus outbreak,FALSE
7,China panicked the woeld and stole our wealth with a common cold,FALSE
8,Coronavirus patent is owned by vaccine production institute funded by bill gates,FALSE
9,COVID-19 virus is a potential bioweapon  ,FALSE
10,New York Governor Andrew Cuomo ?is considering a temporary six-week ban on the sale of combustible cigarettes in order to reduce the State?s Coronavirus death count,FALSE
11,Every day we are seeing more studies that confirm that COVID-19 is not deadlier than the flu.,FALSE
12,New Study: The Flu Vaccine Is ?Significantly Associated? With An Increased Risk of Coronavirus,FALSE
13,"This Is the Beginning Of the End of the Pandemic, made unsubstantiated claims about the effectiveness of the anti-malaria drug hydroxychloroquine as a treatment for COVID-19",FALSE
14,"moringa powder and Proceed with caution: This website severely violates basic standards of credibility and transparency. Score: 25/100 ? Does not repeatedly publish false content (22points) ? Gathers and presents information responsibly (18) ? Regularly corrects or clarifies errors (12.5) ? Handles the difference between news and opinion responsibly (12.5) ? Avoids deceptive headlines (10) ? Website discloses ownership and financing (7.5) ? Clearly labels advertising (7.5) ? Reveals who's in charge, including any possible conflicts of interest (5) ? The site provides names of content creators, along with either contact or biographical information (5) Criteria are listed in order of importance. More information. moringa pills ? extracts from the moringa tree ? as natural immunity boosters to ward off COVID-19",FALSE
15,STAYING INDOORS INCREASES CORONAVIRUS RISK,FALSE
16,The flu shot increases the risk of getting coronavirus by 36%.,FALSE
17,Microsoft co-founder Bill Gates was behind the outbreak of COVID-19.,FALSE
18,"COVID-19 virus was stolen by Chinese scientists who were acting as spies for the Chinese government and working at the National Microbiology Lab (NML) in Winnipeg, Canada",FALSE
19,Coronavirus vaccine: Scientists race to develop prevention ,TRUE
20,Coronavirus: Why are we catching more diseases from animals? ,TRUE
21,Coronavirus: US bars foreigners who recently visited China - BBC News,TRUE
22,Coronavirus: US and Australia close borders to Chinese arrivals - BBC News,TRUE
23,Coronavirus: China to pump billions into economy amid growth fears - BBC News,TRUE
24,Coronavirus super-spreaders: Why are they important? - BBC News,TRUE
25,Coronavirus: China and the virus that threatens everything - BBC News,TRUE
26,Coronavirus: China wildlife trade ban 'should be permanent' - BBC News,TRUE
27,Coronavirus: China admits 'shortcomings and deficiencies' - BBC News,TRUE
28,Coronavirus and oil: Why crude has been hit hard - BBC News,TRUE
29,Coronavirus triggers boom in private jet inquiries - BBC News,TRUE
30,Coronavirus: Jaguar Land Rover 'shipping parts in suitcases' - BBC News,TRUE
31,Coronavirus: How a misleading map went global - BBC News,TRUE
32,Coronavirus: Qantas and Air France-KLM warn of earnings hit - BBC News,TRUE
33,Coronavirus: Car sales in China fall 92% in February - BBC News,TRUE
34,Coronavirus: Ukraine protesters attack buses carrying China evacuees - BBC News,TRUE
35,Coronavirus: Russia denies spreading US conspiracy on social media - BBC News,TRUE
36,Coronavirus: The race to find the source in wildlife - BBC News,TRUE
37,Coronavirus: Fake news is spreading fast - BBC News,TRUE
38,Coronavirus: Drinks giant warns of profit hit as bars close - BBC News,TRUE
39,Coronavirus: Hundreds of flu patients to be tested by UK hospitals and GPs - BBC News,TRUE
40,Coronavirus: Outbreak spreads in Europe from Italy - BBC News,TRUE
41,Coronavirus: Britons returning from northern Italy told to self-isolate - BBC News,TRUE
42,Coronavirus: New advice issued for offshore workers - BBC News,TRUE
43,Coronavirus: Outbreak at 'decisive point' as WHO urges action - BBC News,TRUE
44,Coronavirus prompts buyers to look closer to home - BBC News,TRUE
