,Unnamed: 0,News,Label
179,29,"Syrian War Report  November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",False
266,116,APOCALYPSE NOW: Trump Voters Warn Of Revolution If Clinton Wins,False
33,33,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,True
952,802,Obama hits the trail for Hillary Clinton: Will he help or hurt?,True
181,31,Why Its Necessary To Relax Into A Stretch,False
436,286,"Trumka: Disappointment with Obama, a warning for Hillary",True
1279,1129,"After tragic shooting, Charleston church reopens with prayer, songs and tears",True
610,460,Training French soldiers to supervise Daesh,False
540,390,"Iranians Spend $2.1b on Beauty Products Annually, 3 Times more than Their European Counterparts",False
1442,1292,White House looks to scientists to sell Iran deal,True
251,101,Accord reached after Sanders sues the DNC over suspended access to critical voter list,True
611,461,Lets Make 2016 the Last Endless American Election,True
994,844,Netanyahu's Iran Speech: Why it's important for Congress to at least listen to Israel's leader,True
1446,1296,"Kiev officials forced to declare incomes, Ukrainians threaten revolt",False
586,436,Will a No-Fly Zone Help the People of Aleppo?,False
660,510,"Meteor, space junk, rocket? Mysterious flash hits Siberia",False
1346,1196,Kasich: My Republican Party doesnt like ideas,True
1105,955,Scientists Claim To Have Found 234 Alien Civilizations,False
1474,1324,"Walgreens to close 200 stores, boost cost cutting",True
457,307,Iran: Why the best outcome now is to keep negotiating without reaching a deal,True
304,154,Social Media Is Censoring FBIs Re-Opened Clinton Email Investigation,False
641,491,"Ryan so far proves he can 'make the sausage,' but he'll likely be serving a much different House party in 2016",True
1169,1019,Political Correctness for Yuengling Brewery; What About Our Opioid Epidemic?,False
432,282,Gay rights and religious liberty: Can Americans have both?,True
980,830,"Former Miss Finland accuses Trump of sexual assault, bringing number of accusers to 12",False
600,450,The immigration swamp,True
866,716,"Trump doctors letter: He takes cholesterol drug, is overweight but is in excellent health",True
599,449,Joe Giambrone on Hollywoods Shameless & Underhanded Assault on Political Truth,False
966,816,It isnt Islamophobia when an Oklahoma GOP State Rep. says Islam is a cancer in our nation that needs to be cut out,False
767,617,AG Lynch told FBI Director Comey NOT to go public with the new Clinton email investigation,False
383,233,Why Hillary Won't Unleash WWIII    : Information,False
679,529,Donald Trump: We have to take back the heart of our country,True
493,343,The Hulk Actor Mark Ruffalo Has Joined Standing Rock to Protest DAPL,False
103,103,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",True
407,257,"What 20,000 pages of hacked WikiLeaks emails teach us about Hillary Clinton",True
146,146,Barack Obama has never even worked in business.,False
938,788,The early 2016 primary calendar is now set. It will change.,True
1015,865,Al Qaeda rep says group directed Paris magazine attack; US issues travel warning,True
79,79,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,True
787,637,Restaurant Chain Tim Hortons Blocks Independent Journalists Website on WiFi,False
51,51,"Maggie Hassan raised tuition, making it the highest in America.",False
1270,1120,How the Oligarchy Has Prepared the Groundwork for Stealing the Election,False
1057,907,"Chris Christie: If I Run, I Will Beat Hillary Clinton",True
853,703,Former Director Of National Budget Warns That Markets Will Tank After US Election,False
1333,1183,12 and 63-minute videos: Donald Trump connects to false flag targeting Muslims. Did you really think our masters offer anything other than false choice between Left and Right arms of a .01% US rogue state?,False
119,119,"About half of the presidents have been governors; half of them, senators.",False
581,431,Your dog probably has better healthcare than you do,False
111,111,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",True
226,76,"Hands up, dont shoot was built on a lie",True
1037,887,Shallow 5.4 magnitude earthquake rattles central Italy; shakes buildings in Rome,False
939,789,Trump: I wouldn't accept Cruz's endorsement,True
1258,1108,Republicans are crossing a dangerous new line: sabotaging US foreign policy,True
236,86,"Ted Cruz is toast: Its not just that he wont be president  his days in the Senate are numbered, too",True
1292,1142,Angela Merkel to Visit White House on Feb. 9,True
1251,1101,Tics and tricks: Here's what Trump and Clinton's body language reveals,True
692,542,Comment on A Group Of Reluctant Men Hold Kittens For The First Time. Hilarity Ensures by para para dinle,False
730,580,Clinton Campaign STUNNED As FBI Reportedly Reopens Probe Into Hillary Clinton Emails,False
971,821,Is This Why The Smash In Gold & Silver Is Happening? A Shocking Game-Changer For Gold & Silver Is Now Unfolding,False
828,678,"More Beer, Less Vodka as Russians Mull Ongoing Crisis - Rustem Falyakhov",False
1122,972,"First Iraqi Troops Enter Mosul, But Fighting Remains Largely in Suburbs",False
1470,1320,Why Koch and Republican donor network wont back Trump (+video),True
750,600,How To Reduce Stress,False
321,171,Undercover Video Exposes Obamas Plan to Make American Gun Laws More Like Britain  TruthFeed,False
144,144,Donald Trump has said nuclear proliferation is OK.,True
526,376,Obamacare Premiums Spike an Average of 25%!,False
1324,1174,Scott Walkers economic mess: How worker wages were gutted in Wisconsin,True
485,335,Ernst to Trump: Stop with the name-calling,True
225,75,"2016 Republican race enters a new, volatile phase",True
129,129,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,True
889,739,Police morale can wait: How the Baltimore riots should reshape Attorney General Loretta Lynchs agenda,True
141,141,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",False
1323,1173,Cop Caught on His Own Body Camera Stealing Money From Unconscious Crash Victim,False
654,504,COMICAL: Larry the Cable Guy slams indefensible hypocrisy from Donna Brazile,False
1065,915,The GOP Is Dying Off. Literally.,True
859,709,Bernie's swan song begins,True
439,289,Lifting weights could ward off dementia and make you smarter,False
320,170,Trump's New Ad Portraying 'Every Mother's Worst Nightmare' is Nothing Short of Chilling,False
145,145,"Hillary Clinton has taken over $800,000 from lobbyists.",True
1172,1022,Biden previews battle against Clinton,True
55,55,"In Georgia, women earn 82 cents for every dollar earned by men.",True
1147,997,A List of Best Password Managers Offering Both Free and Premium Services,False
100,100,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,False
233,83,John Kerry: ISIS responsible for genocide,True
922,772,Illegal Immigrants Could Elect Hillary,True
735,585,Why Trump is still likely to fall 52 delegates short of nomination,True
404,254,"100,000 people have come to recent Bernie Sanders rallies. How does he do it?",True
649,499,Dr. MacDonald & Dr. Duke Expose the Vicious War on Trump by the Jewish Establishment!,False
791,641,A new 9/11 memorial to Flight 93: Our loved ones left a legacy for all of us,True
398,248,Trump mulls alternative options for making Mexico finance 'the wall',True
1481,1331,"American Dream, Revisited",False
946,796,New Lunar Craters Mystery | Space News,False
929,779,Contaminated Food from China Now Entering the U.S. Under the 'Organic' Label,False
1450,1300,"Bobby Jindal, raised Hindu, uses story of Christian conversion to woo evangelicals for potential 2016 bid",True
154,4,The Battle of New York: Why This Primary Matters,True
996,846,The Guardian is Going Friggin Nuts Over Calais,False
717,567,"How Western Media Teleported a Child 'Victim' from Homs to Aleppo (PHOTOS, VIDEO)",False
1099,949,AUSTRIA: Freedom Party leader calls Chancellor Angela Merkel the most dangerous woman in Europe,False
1471,1321,The Iran Deal and the Cost of Political Polarization | RealClearPolitics,True
627,477,Unprecedented Surge In Election Fraud Incidents From Around The Country,False
177,27,Donald Trump Is Changing His Campaign Slogan to Prove Hes Not Racist,True
720,570,"Rating Obama, 50% say he's been a success",True
408,258,Comment on Breaking: CDC Blocks Testimony of Their Senior Scientist Who Blew The Whistle on Severe Medical Malpractice by CDC Accused of Blocking Testimony from Senior Scientist  New York Malpractice & Injury Lawyer Blog,False
315,165,Iran agrees to nuclear restrictions in framework deal with world powers,True
1441,1291,Experts Just Uncovered The Top Secret Server Trump Uses To Talk To Russia,False
721,571,"James Comey to be taken out, knows too much about Clintons",False
375,225,US Airstrikes on Iraqi Army Slowing Advance on Mosul,False
84,84,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,True
696,546,Hillary Clinton BETRAYED by Her Own Family: Were Voting for Trump!,False
951,801,Discrimination and Condemnation: Australias War on Boat People,False
279,129,Conspiracy theories swirl around the death of Antonin Scalia,True
1427,1277,The Last Confirmation Bias Test of This Election,False
820,670,Mitt Romney Fans Speculation Over Another White House Run,True
67,67,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",False
956,806,"With Another Deadline Looming, Whispers Of Iran Nuclear Deal Emerge",True
480,330,New Yorkers fight to overturn ballot selfie ban,False
299,149,Shutdown clash to return in force by December,True
1378,1228,Outsider campaigns seek inside track,True
837,687,Secret Service testing ways to intercept rogue drones with late-night flights over Washington,True
567,417,Just Another Day In the Life of the Clinton Crime Family,False
667,517,"Yes, There Is a Clinton Double Standard",True
1356,1206,Lester Holt: presidential debate moderator and proven fact-checker,True
805,655,YouTube censoring videos  on censorship!,False
1045,895,Refugee Resettlement Watch: Swept Away In North Carolina,False
690,540,Genetically Modified Crops in U.S. Fail to Deliver Expected Yields,False
210,60,Biden makes another surprise political stop,True
1245,1095,"Rebels Escalate Attacks on Western Aleppo, Killing 12 Civilians",False
30,30,Says Paul Ryan is still endorsing Trump.,True
1013,863,Jeb Bush blames Iraq unrest on Obama,True
422,272,Trump advisors try to pivot not fishtail,True
347,197,Western Lynch Mob on Russia Ties Itself up in Absurd Anots      : Information,False
1168,1018,"We won, you lost, get over it Brexiters told outside High Court",False
999,849,The Modern History of Rigged US Elections,False
818,668,AT&T-Time Warner Merger: Another Media Consolidation That Puts Profits Over Consumers,False
869,719,We told you so! The Zika virus is harmless,False
664,514,Lawmakers caught in battle between House ethics cops,True
1475,1325,"This Will END Hillarys Campaign, HILLARY CLINTON IS GOING DOWN",False
1217,1067,The Fear of Being Gay in Russia,True
488,338,"NOW FIVE FBI FIELD OFFICES ARE PROBING CLINTON CHARITY, ADDING FUEL TO THE FIRE",False
815,665,Clinton holds narrow lead over Trump on eve of conventions,True
99,99,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,True
1211,1061,The Senate's 46 Democrats got 20 million more votes than its 54 Republicans,True
161,11,Donald Trumps Shockingly Weak Delegate Game Somehow Got Even Worse,True
212,62,Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryans Relative for Supreme Court by lenore.lee,False
23,23,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",True
1078,928,"650,000 Emails Found On Anthony Weiners Laptop; DOJ Blocked Foundation Probe",False
368,218,Tweetwave,False
955,805,New Saudi king ascends to the throne as terrorism threat grows,True
1118,968,Why Bernie Sanders's campaign makes me worry about how hell manage the White House,True
132,132,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",True
765,615,Trump refuses to say whether he'll accept election results,True
80,80,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,True
1209,1059,Clinton Gets Back In The Game After Blowout Loss To Sanders In N.H.,True
483,333,George W. Bushs Ethics Lawyer Files Complaint Against FBI Director James Comey,False
1473,1323,Gowdy reveals subpoena Clinton claims she 'never had',True
1403,1253,"Sanders wins in Wisconsin, keeping alive his improbable bid for the nomination",True
752,602,The First Space Photo Of Earth - Shot From A Third Reich Rocket In 1946,False
216,66,Why it's funny Republicans are upset with Facebook: Column,True
1412,1262,Is This A New Escalation? BLACK Chemtrails Reported Around The World!,False
830,680,Understanding Propaganda - The Art Of Distraction And Disinformation,False
652,502,Election 2016 and the Weaponization of the American Public,False
341,191,Election Day: No Legal Pot In Ohio; Democrats Lose In The South,True
1240,1090,"If Donald Trump Wins The Election, It Will Be The Biggest Miracle In US Political History",False
746,596,Rachel Maddow made them fight: Shes the reason for the tense Hillary/Bernie fireworks,True
224,74,Jeb Bush Picks Up Endorsement From Lindsey Graham,True
295,145,Saturns Baffling Hexagon  The Raging Storm Four Times the Size of Earth has Changed Its Colors,False
1389,1239,Someone left a funny note asking the postman to move a spider,False
455,305,McCarthy drops out of speaker race as House asks: Who wants this job? (+video),True
1154,1004,Why LeBron Jamess Endorsement Could Help Clinton Retake Ohio,True
1004,854,The End of the Road for John Kasich,True
895,745,Western QLD Drovers Show Solidarity With C.U.B Workers By Only Drinking Sauv Blanc  The Betoota Advocate,False
949,799,Trump slams GOP nominating process as top aide accuses Cruz of 'gestapo tactics' to win delegates,True
495,345,Why the drop in income inequality?,True
85,85,"In Rick Perrys Texas, we import nurses ... from other countries.",True
1160,1010,Iran talks to be extended another day,True
452,302,The system set Boehner up for failure,True
425,275,Inside the Deliberations of a Hillary Clinton Campaign Launch,True
1017,867,What 'Draw Muhammad' shootings say about Islamic State reach (+video),True
81,81,"At some point in their lives, 99% of women use birth control.",True
53,53,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",True
438,288,Wingnuts have a death-grip on Congress: Why Paul Ryan cant control the House GOP,True
507,357,Obama: Trump is unfit to serve as president,True
369,219,Trumps Gettysburg Address against the New World Order,False
1254,1104,Donald Trump's Problems Are Much Deeper Than A Campaign Manager,True
1301,1151,Media Roll Out Welcome Mat for Humanitarian War in Syria,False
831,681,Huffington Post Continues Campaigning for Hillary Clinton,False
576,426,News: A Somber Moment: Cubs Fans All Over The World Are Still Too Sad About Princess Diana To Celebrate The Cubs World Series,False
548,398,"BOOM! This Is How President Reagan Handled Protesters: ""Negotiate? What is there to negotiate?"" [Video]  100percentfedUp.com",False
73,73,The only time in our history when the debt has been higher than this was the end of World War II.,True
1064,914,The President Of The United States of America: Donald J. Trump,False
1375,1225,Family of Armed Robbery Suspect Outraged Pizza Hut Employee Shot & Killed Their Son,False
395,245,"Clinton, Sanders accuse Trump of inciting violence",True
708,558,"No, Sanders wouldn't be a better match for Trump",True
1467,1317,North Korea Threatens Sacred Nuclear War Against Israel if this country continue supporting ISIS,False
300,150,Classless Obama Refuses Photo-Op of White House Welcome with Trump,False
1207,1057,DONALD TRUMP & DEUTSCHE BANK: DID CLINTONS LEAN ON US JUSTICE DEPARTMENT?,False
725,575,"CLINTON, INC: WATCH HOWS IT PAINS MSM TO REPORT CLINTON CORRUPTION",False
944,794,Trump controlled by Mossad,False
702,552,Doctor Finds New Life As A Clown More Fulfilling | GomerBlog,False
29,29,Youth unemployment in minority communities is about 40 to 45 percent.,True
981,831,Kerry orders State Department review of records retention amid Clinton email controversy,True
658,508,Carson takes lead from Trump in new national poll,True
1357,1207,Patriots Day 2015: Boston does not stand alone,True
10,10,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",True
1459,1309,The Reopening Of The Clinton Email Investigation Is More GOP Hype Over Nothing,False
681,531,Donald Trump cant resist blaming Bill Clinton when his own sexism comes up,True
125,125,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",True
776,626,"Parts Of Patriot Act Expire, Even As Senate Moves On Bill Limiting Surveillance",True
1110,960,Jeb's invisible man strategy,True
1293,1143,Will Nancy Pelosi miss John Boehner? Depends.,True
138,138,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",False
531,381,Trump treads on tradition in New Hampshire,True
234,84,Mitt Romney's Re-Invention As Anti-Poverty Warrior,True
396,246,Memo to the Next Administration: Defense Spending Must Be For Actual Defense,False
167,17,Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,False
316,166,Comment on This Is What Constipation Does To Your Body by THIS IS WHAT CONSTIPATION DOES TO YOUR BODY | TheHealthology,False
36,36,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,True
651,501,Why Donald Trump is beating Fox News -- and GOP rivals,True
511,361,Paris Tragedy Could Shake Up 2016 Race,True
72,72,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",True
142,142,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",True
794,644,CLINTON CAMPAIGN COOPERATED WITH POLITICO ON DEMYSTIFYING HUMA ABEDIN,False
360,210,UKIP MEPs Steven Woolfe & Mike Hookem reported to French police over Strasbourg scuffle,False
536,386,"Juan Williams: My bets on Trump, Clinton vice presidential picks",True
1320,1170,"Giuliani, suggesting Trump may have exaggerated in lewd comments, says, talk and action are two different things",True
231,81,"To get around Congress, Obama turns to city halls",True
992,842,Sex and the Presidential City,False
1184,1034,"Monsanto Behind 4-Years-in-the-Making, Failed Peace Deal in Colombia",False
283,133,Re: WikiLeaks: How is what Bill Clinton did different from what Bill Cosby did? #PodestaEmails20,False
1443,1293,GOP debate: 's Reality Check Team inspects claims,True
631,481,"Anonymous hacker Deric Lostutter faces 16 years in prison, while Steubenville rapists walk free",False
657,507,Teenage Boy KNOCKS OUT His Classmate For Assaulting Their Female Teacher In The FACE- And Its EPIC!,False
336,186,Leaked: Whats in Obamas trade deal,True
429,279,North Carolina Hillary Supporter Brags on Facebook About Voting Multiple Times,False
476,326,The Real Reason Obamacare is Coming Unglued,False
1139,989,Republicans in Congress are ready for Hillary as they prepare for new probes into Clinton Foundation,False
1411,1261,Vladimir Putin Condemns Europe for Upholding Child Rape (Video) - Ricky Twisdale,False
1195,1045,Its not about mental illness: The big lie that always follows mass shootings by white males,True
405,255,Trump The President: What Does That Mean For The World? - CounterCurrents.org,False
137,137,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",False
378,228,Donald Trump's GOP civil war,True
1129,979,"Ryan meets Trump, says very encouraged but unity will take time",True
1079,929,Congress Undermines U.S. Global Economic Standing,True
1313,1163,"Cruz eyes insurance via Obamacare, a law he vows to scrap (+video)",True
92,92,The insurance commissioner cant do squat about health care.,True
96,96,Did you know US population growth is at its lowest since the Great Depression?,True
763,613,3 dead in Colorado Springs Planned Parenthood shooting,True
1188,1038,The Source of our Rage       :,False
1091,941,Hybrid Wars 8. Strategies Against Africa  Introduction,False
778,628,US: Kurdish Troops Will Be Involved in Invading ISIS Capital of Raqqa,False
7,7,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",True
8,8,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",True
858,708,"Syrian War Report  November 7, 2016: Russian Attack Helicopters Swarm in Homs Province | The Vineyard of the Saker",False
988,838,"Life: When These Third-Graders Saw Their Classmate Didnt Have A Lunch, They Kept Feeding Him More And More Lunches Until He Clogged The Door And Got School Canceled",False
877,727,Farming Invented Many Times by Many Different Farmers Over A Vast Landscape. @CarlZimmer. @NYTimes. - Russia News Now,False
288,138,Look at the SHOCKING Number of Kids Born To Illegals in 2014,False
190,40,First Take: Wall Street bids goodbye to June hike,True
556,406,Young Turks Finds Out Why Trump Is About To Lose Utah For Republicans For First Time In Decades (VIDEO),False
1058,908,"Christie Hides $800,000 in Travel Bills",True
1066,916,Michael Bloomberg Names Technological Unemployment as the Next Administrations Greatest Conundrum,False
505,355,"GOP braces for Trump loss, roiled by refusal to accept election results",True
712,562,CNN Breaking News: Trump Tells Supporters To Vote Multiple Times,False
194,44,220 Significant Pipeline Spills Already This Year Exposes Troubling Safety Record,False
685,535,Biden backers to naysayers: Not so fast,True
427,277,Clinton condemns Trump over Chicago violence,True
764,614,"Report from the Refugee Camp in Calais, France: the Jungle",False
229,79,Bernie Sanders' call for ouster of two convention co-chairs rejected,True
532,382,GOP presidential candidates hammer on 'top secret' Clinton emails in final days before Iowa Caucus,True
59,59,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",True
365,215,2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,True
430,280,Russia reacts to UN aid chief's Aleppo 'kill zone' remarks,False
1179,1029,U.S. Currency Hidden Images,False
1422,1272,"What happens to delegates won by Rubio, other ex-candidates?",True
276,126,Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats,False
411,261,Buchanan Smashes CNN Shill,False
1165,1015,"Kurdish forces, backed by U.S. airstrikes, launch offensive in Iraq",True
337,187,"Michael Moore admits no women ever melted the ice caps, bombs American history",False
661,511,5 takeaways from the Republican debate,True
1002,852,Trump Expected to Name Running Mate Soon: Looking for an 'Attack Dog',True
454,304,Who rode it best? Jesse Jackson mounts up to fight pipeline; Leonardo DiCaprio to the rescue?,False
603,453,Why the DNC's mysteriously hacked oppo file on Trump is a big yawn,True
1355,1205,Rubio reignites Cuba debate with Senate hearing,True
957,807,Donald Trump's Clintonesque foreign policy,True
246,96,Give Social Security recipients a CEO-style raise,True
568,418,Muslims regularly use Inshallah (God Willing in Arabic) and nobody calls it Christophobic hate speechso why is Deus Vult (God Willing in Latin) graffiti being called Islamophobic Crusader hate speech?,False
1192,1042,"@POTUS joins Twitter, jokes with @BillClinton",True
1163,1013,Reasons to Risk Nuclear Annihilation,False
931,781,Donald Trump: The next President of the United States of America,False
249,99,How Ted Cruz Became Ted Cruz,True
619,469,Obama says world should address grievances that terrorists exploit,True
87,87,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,True
854,704,Delete Your Account  Episode 23: Dont Get Sick,False
796,646,Zakharova: Kiev's talk of an armed OSCE mission is disinformation,False
682,532,Hillary Clinton Jumps the Shark with Trumps Secret Russian Server Conspiracy Theory,False
109,109,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",False
823,673,"Us vs Them: When Politics is Treated Like a Football Game, No One Wins",True
52,52,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,False
1415,1265,"Amid campaign troubles, Trump blasts Clinton as 'world-class liar'",True
1035,885,Obama: Gov. Scott Walker needs to bone up on foreign policy,True
260,110,Brothers ID'd as suicide bombers in Belgium,True
780,630,Michael Moore Owes Me $4.99,False
636,486,A sharpened debate: Is it ethical to not vote this year for president?,True
140,140,Mr. Caprio is a career politician who has never worked in the private sector.,False
848,698,"Andrew Maguire  Paper Gold Market Trades Jaw-Dropping 6,800 Tonnes In One Day!",False
1285,1135,"Jordanian fighter jets strike hard at ISIS, pay tribute to murdered pilot",True
1144,994,"New Company Aims To Explore Intersection Of Technology, Other Thing - The Onion - America's Finest News Source",False
82,82,"In the past 20 years, Egypt has made great strides in political and democratic reform.",False
812,662,Heres What Clinton and Trump Must Do on the Debate Stage to Win the Night,True
1332,1182,Boehner 'baffled' by Israeli spying report,True
928,778,Kentucky governor: Electing Hillary Clinton may eventually lead to violence,True
684,534,"Obama outlines plan to keep 5,500 troops in Afghanistan",True
1286,1136,ISIS shoots down Russian helicopter near Palmyra (VIDEO+PHOTOS),False
1383,1233,Can Sanders' millennials switch to Clinton?,True
1151,1001,"White House, Dems seek to water down Iran bill",True
574,424,GOP Senator Silences the Entire Room With Remark About War Hero Opponent's Heritage at Debate,False
706,556,Democrats Clinton and Sanders pounce on Flint water crisis  and each other,True
1042,892,Checking a claim that 'nobody did anything wrong' on Benghazi,True
1273,1123,Excruciating choice for GOP leaders: Take a risk on Trump?,True
688,538,Re: Texas Police Arrest Trump Voter for Wearing Deplorable T-Shirt,False
473,323,BREAKING : TED CRUZ CALLS FOR SPECIAL PROSECUTOR TO INVESTIGATE HILLARY  TruthFeed,False
362,212,Justice Clarence Thomas Describes Washington DC As Broken,False
584,434,Retired Bishop Explains Why The Catholic Church Invented Hell [Watch],False
924,774,TREY GOWDY: WHAT IN THE WORD IS LORETTA LYNCH DOING TALKING TO COMEY,False
462,312,Rand Paul is flatlining,True
894,744,Admit it: You love Tax Day! (Opinion),True
1314,1164,"On climate change, ideological and partisan polarization hardens",True
247,97,"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",True
348,198,Can Sanders rally supporters around Clinton after DNC email leak?,True
804,654,Obamas Arctic Trip Comes as Climate Change Builds as 2016 Issue,True
1084,934,It Turns Out Trump Put off Investigators for 6 Months While He Destroyed Emails,False
102,102,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",True
849,699,What A Hillary Presidency Would Bring,False
987,837,Tiny Homes Banned In U.S. At Increasing Rate As Govt Criminalizes Sustainable Living,False
1053,903,300 US Marines Deployed To Norway Near Russian Border For First Time Since World War II,False
1299,1149,"They Said What?!: Find Out What Reba McEntire, Whoopi Goldberg, And Pope Francis Have To Say",False
1236,1086,The Latest ABC/WaPo Poll Has the Hillary Campaign Sounding the Alarms,False
979,829,"Donald Trump, president of the Confederacy: The Southern strategy created the GOP civil war",True
278,128,Monsieur Malbrough est Mort | New Eastern Outlook,False
833,683,Ted Cruz victory shows GOP's impossible conundrum (+video),True
1358,1208,| Man whose son was killed by illegal immigrant files two suits against feds,False
934,784,Inside Jeb's 'shock and awe' launch,True
1354,1204,BOMBSHELL: Hillary Clintons Leaked Audio Proves She Rigs Elections,False
991,841,Harry Reid Calls Trade Push By Obama And GOP 'Insanity',True
1401,1251,Laura Ingraham: The Trump betrayal by Republican elites won't soon be forgotten,True
644,494,Can nuclear war break out on the Korean Peninsula?,False
779,629,Kasich: Voters Are Starting to Pay Attention,True
1420,1270,NSA program reportedly helped US gather evidence against North Korea in Sony hack,True
1252,1102,Green Partys Margaret Flowers Challenges US Senate Debate in Maryland as Undemocratic,False
1344,1194,UNs Yemen Peace Plan Would Sideline Former President Hadi,False
124,124,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",True
1210,1060,WikiLeaks Documents Reveal United Nations Interest In UFOs,False
822,672,"Tolerant Liberals Show Nothing But Contempt, Hatred Toward Nations Only Black Supreme Court Justice",False
139,139,Newt Gingrichs immigration plan offers a new doorway to amnesty.,True
1423,1273,Sniff your underarms and tell us if you stink...,False
1014,864,Cop Versus Two Informed Teens who Refuse to Submit to an Unlawful Detainment,False
4,4,The economic turnaround started at the end of my term.,True
1447,1297,Congress and its 'outsiders': The critical struggle over who is really in charge,True
914,764,"Here come the jobs, finally",True
1069,919,Can Anyone Beat Trump in the Primary? History Says No,True
626,476,"Netanyahu: Iran A Threat to Israel, the World",True
623,473,Daesh abducts 1000s near Mosul to use them as human shields: UN,False
1335,1185,Theres a good reason protesters at the University of Missouri didnt want the media around,True
995,845,Obama: Warren 'Absolutely Wrong' On Trade Deal,True
121,121,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",True
1018,868,4 Truly Important Items for Your Post-Election List of Things to Protest,False
373,223,Trump Proudly Declares: Most Of The People Ive Insulted Deserved It,False
678,528,What The Trump Skeptics Got Wrong,False
467,317,The Rise of Mandatory Vaccinations Means the End of Medical Freedom,False
58,58,Sen. Obama's campaign announced that he's choosing his cabinet.,False
